Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Educational Resource,Manifest for describing educational resources.,,"EducationalResource_id, GrantView Key, Study Key, DatasetView Key, PublicationView Key, ToolView Key, Resource Title, Resource Link, Resource Doi, Resource Topic, Resource Activity Type, Resource Primary Format, Resource Intended Use, Resource Primary Audience, Resource Educational Level, Resource Description, Resource Origin Institution, Resource Language, Resource Contributors, Resource Secondary Topic, License, Resource Use Requirements, Resource Alias, Resource Internal Identifier, Resource Media Accessibility, Resource Access Hazard, Resource Tool Link, Resource Dataset Alias",,,,,,,,,True,
Resource Title,Title of the item.,,,True,,,string,,,,,,
Resource Link,The URL that links to the item.,,,True,,,string,uri,,,,,
Resource Doi,The Digital Object Identifier (DOI) associated with the educational resource.,,,True,,,string,uri,,,,,
Resource Topic,"General topic or research context of the item. If 'other' is selected, please provide additional topics in the 'Resource Secondary Topic' field. Multiple values should be provided as a comma separated list.","Computational Model Development, Computational Resource, Diversity/Equity/Inclusion, Drug Resistance/Sensitivity, Epigenetics, Evolution, Experimental Model Development, Heterogeneity, Immunotherapy, Mechano-genetics, Mechano-resistance, Metabolism, Metastasis, Method/Assay Development, Microenvironment, Oncogenic Stress, Other, Outreach, Platform Development, Training Material, Tumor Progression, Tumor-Immune, Computer Science, Environmental Science, Information Science, Educational Technology, Anatomy/Physiology, Biology, Ecology, Genetics, Nutrition, Measurement and Data, Statistics and Probability, Chemistry, Physics, Systems Biology, Patient Advocacy",,True,,,string_list,,,,,,
Resource Activity Type,The type(s) of activities for which the item is intended to be used. Multiple values should be provided as a comma separated list.,"Activity/Lab, Assessment, Case Study, Data Set, Diagram/Illustration, Full Course, Game, Homework/Assignment, Interactive, Lecture, Lecture Notes, Lesson, Lesson Plan, Module, Primary Source, Reading, Simulation, Student Guide, Syllabus, Teaching/Learning Strategy, Textbook, Unit of Study",,True,,,string_list,,,,,,
Resource Primary Format,"The media type(s) of the item (video, audio, text, etc.) Multiple values should be provided as a comma separated list.","Audio, Braille/BNF, Downloadable docs, eBook, Graphics/Photos, Interactive, Mobile, Text/HTML, Video, Other",,True,,,string_list,,,,,,
Resource Intended Use,The purpose of the material for education. Multiple values should be provided as a comma separated list.,"Curriculum/Instruction, Assessment, Professional Development, Other",,True,,,string_list,,,,,,
Resource Primary Audience,The intended end user audience for the resource. Multiple values should be provided as a comma separated list.,"Student, Teacher, Administrator, Parent, Professor, General Audience, Other",,True,,,string_list,,,,,,
Resource Educational Level,"Educational context (pre-school, lower-primary, upper-primary…) in which the item was intended to be used. Multiple values should be provided as a comma separated list.","Preschool, Lower Primary, Upper Primary, Middle School, High School, Community College / Lower Division, College / Upper Division, Graduate / Profession, Career / Technical, Adult Education",,True,,,string_list,,,,,,
Resource Description,Abstract or summary of the item.,,,True,,,string,,,,,,
Resource Origin Institution,Institution(s) of origin for this item. Multiple values should be provided as a comma separated list.,,,True,,,string_list,,,,,,
Resource Language,Language of the item (not of the metadata). Multiple values should be provided as a comma separated list.,"aa, ab, ae, af, ak, am, an, ar, as, av, ay, az, ba, be, bg, bh, bi, bm, bn, bo, br, bs, ca, ca, ce, ch, co, cr, cs, cu, cv, cy, da, de, dv, dv, dz, ee, el, en, eo, es, et, eu, fa, ff, fi, fj, fo, fr, fy, ga, gd, gl, gn, gu, gv, ha, he, hi, ho, hr, ht, hu, hy, hz, ia, id, ie, ig, ii, ik, io, is, it, iu, ja, jv, ka, kg, ki, kj, kk, kl, km, kn, ko, kr, ks, ku, kv, kw, ky, la, lb, lg, li, ln, lo, lt, lu, lv, mg, mh, mi, mk, ml, mn, mr, ms, mt, my, na, nb, nd, ne, ng, nl, nn, no, nr, nv, ny, oc, oj, om, or, os, pa, pi, pl, ps, pt, qu, rm, rn, ro, ru, rw, sa, sc, sd, se, sg, si, sk, sl, sm, sn, so, sq, sr, ss, st, su, sv, sw, ta, te, tg, th, ti, tk, tl, tn, to, tr, ts, tt, tw, ty, ug, uk, ur, uz, ve, vi, vo, wa, wo, xh, yi, yo, za, zh, zu",,True,,,string_list,,[a-z]{2},,,,
Resource Contributors,The name(s) of the contributor(s) to the item. Multiple contributor names should be provided as a comma-separated list.,,,True,,,string_list,,,,,,
Resource Secondary Topic,"Additional topics or keywords to describe the content of the item, in addition to the primary topic. Multiple values should be provided as a comma-separated list.",,,,,,string_list,,,,,,
Resource Use Requirements,"A list of materials, hardware, software, computing power, and network requirements that the end user would need to satisfy before using the resource, if applicable. Multiple values should be provided as a comma separated list.",,,,,,string,,,,,,
Resource Alias,"A unique identifier (DOI, Synapse ID) for the item, if it exists.",,,,,,string,,,,,,
Resource Internal Identifier,"The institution-specific ID for the item, if applicable. May be non-unique. Multiple values should be provided as a comma separated list.",,,,,,string_list,,,,,,
Resource Media Accessibility,"Accessibility features (Alternative Text, Audio Description, etc.) incorporated into the item. Multiple values should be provided as a comma separated list.","Alternative Text, Audio Description, Braille, Captions, ChemML, Described Math, Display Transformability, Haptic, High Contrast, Large Print, Latex, Long Description, MathML, Nemeth Braille, Sign Language, Structural Navigation, Tactile Graphics, Text Transcript",,,,,string_list,,,,,,
Resource Access Hazard,"Sensory hazards (Flashing, Motion, etc.) applicable to the item. Multiple values should be provided as a comma separated list.","Flashing, Motion, Simulation, Sound",,,,,string_list,,,,,,
Resource Tool Link,"URL or persistent identifier (DOI, Synapse ID) for any software or tool that is intended to be used with the item. Multiple values should be provided as a comma separated list.",,,,,,string_list,,,,,,
EducationalResource_id,"Unique ID associated with a Educational Resource entry, used as a key for record linking and updates.",,,True,primary_key,,string,,,,,,
Resource Dataset Alias,"URL or persistent identifier (DOI, Synapse ID) for any dataset(s) that is intended to be used with the item. Multiple values should be provided as a comma separated list.",,,,,,string_list,,,,,,
File Description,Description of the file.,,,,"CDE:11280338, CRDC_CDE:11280338",,string,,,,,,
File Design,"The overall design of the file, including a batch identifier, if applicable.",,,,,,string,,,,,,
File Url,The url of where the file is stored.,,,True,CDE:11556141,,string,uri,,,,,
File Level,The processing level the file can be mapped to. ,"Level 1, Level 2, Level 3, Level 4, Auxiliary, Not Applicable, Metadata",,True,,,string,,,,,,
File View,The denormalized manifest for file submission.,,"FileView_id, Biospecimen Key, Study Key, DatasetView Key, Filename, File Alias, File Description, File Design, File Level, Assay, Species, Tissue, Tumor Type, File Url, File Format, Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, File Data Category, File Data Checksum Type, File Data Checksum Value, File Data Compression Status, File Data Size",,,,,,,,,True,
FileView_id,"Unique ID associated with a File entry, used as a key for record linking and updates. This should be equivalent to File Alias unless otherwise directed.",,,True,"CDE:14528010, primary_key",,string,,"^syn\d{7,8}$",,,,
File Longitudinal Group,A label that can be used to identify groups of files from the same longitudinal/time-resolved experiment,,,,,,string,,,,,,
File Longitudinal Event Type,The type of event to which File Longitudinal Total Time Elapsed is related,"Enrollment, Baseline",,,,,string,,,,,,
File Longitudinal Sequence Identifier,"The order in which this file was collected with respect to the longitudinal experiment (e.g., 1, 2, etc.). Integer.",,,,,,number,,,,,,
File Longitudinal Time Elapsed Unit,The unit of time associated with Sequential and Total Time Elapsed attributes.,,,,,,string,,,,,,
File Longitudinal Sequential Time Elapsed,The time elapsed between collecting the current and previous files in this longitudinal group. ,,,,,,number,,,,,,
File Longitudinal Total Time Elapsed,The total time elapsed between the first and current files contained this longitudinal group. ,,,,,,number,,,,,,
File Format,The format of the file described by this entry.,"AVI, BAI, BAM, BED, CDS, CHP, COOL, CSV, DAE, DB, DCC, DS_Store, FASTA, FASTQ, FCS, FIG, FREQ, GCG, GCT, GCTx, GFF3, GTF, GZIP Format, HDF, HDF5, HTML, IDAT, JPG, JSON, LIF, MAP, MAT, MATLAB script, MSF, MTX, PDF, PNG, PZFX, Python Script, R File Format, RAW, RDS, ROUT, RPROJ, RTF, SGI, SRA, STAT, TAR Format, TDF, TIFF, TSV, TXT, VCF, WIG, XML, ZIP, bed12, bedgraph, cel, cloupe, docx, mzIdentML, mzXML, pptx, rcc, xls, xlsx, MGF, BIGWIG, H5AD, H5, SF, PKL, BPM, Unspecified, Pending Annotation, maf, CLS, SCN, SVS",,True,"CDE:11416926, CRDC_CDE:11416926",,string,,,,,,
File Alias,"A string identifier associated with the file. Must be unique. Can be the repository accesssion number (e.g., Synapse ID, GEO identifier such as GSE12345). No Greek Letters or DOIs.",,,True,,,string,,,,,,
File Anatomic Site,"The UBERON identifier of the anatomic site associated with the data contained in this file (see https://www.ebi.ac.uk/ols4/ontologies/uberon). Reference-validated, not a fixed list.",,,True,CDE:14156279,,string,,^UBERON:\d+$,,,,
File Data Category,A broad classification of the contents of a data file generated from an experiment or a study.,,,,CRDC_CDE:14824731,,string,,,,,,
File Data Checksum Type,The method by which the file checksum was calculated.,"SHA-1, SHA-256, SHA-512",,,CRDC_CDE:11475057,,string,,,,,,
File Data Checksum Value,A small-sized block of data derived from a file for the purpose of detecting errors that may have been introduced during file transmission and/or storage and used to verify data integrity.,,,,CRDC_CDE:11480133,,string,,,,,,
File Data Compression Status,The state of data when saved to storage space or during data transmission.,,,,CRDC_CDE:11387114,,string,,,,,,
File Data Size,The measure (in bytes) of how much space a data file takes up on a storage medium.,,,,CRDC_CDE:11479876,,number,,,,,,
NanoString GeoMx Auxiliary Files,Contains identifiers for auxiliary files associated with Nanostring GeoMx Spatial Profiling experiments.,,"NanoStringGeoMxAuxiliaryFiles_id, Synapse ID of GeoMx DSP ROI Segment Annotation File, Synapse ID of GeoMx DSP PKC File, Synapse ID of GeoMx Lab Worksheet File, Synapse ID of GeoMx DSP Config File",,,,,,,,,True,
NanoStringGeoMxAuxiliaryFiles_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
Synapse ID of GeoMx Lab Worksheet File,Synapse ID(s) of Lab Worksheet Files output from the GeoMx DSP workflow. Multiple files are listed as comma separated values.,,,,,,string_list,,"^syn\d{7,8}$",,,,
Synapse ID of GeoMx DSP PKC File,The Synapse ID(s) associated with the PKC mapping file for the assay. Multiple files are listed as comma separated values.,,,,,,string_list,,"^syn\d{7,8}$",,,,
Synapse ID of GeoMx DSP ROI Segment Annotation File,Synapse ID(s) for ROI/AOI/Segmentation annotations in the GeoMx DSP experiment.,,,,,,string_list,,"^syn\d{7,8}$",,,,
Synapse ID of GeoMx DSP Config File,Synapse ID of config.ini file generated by the GeoMx DSP workflow.,,,,,,string_list,,"^syn\d{7,8}$",,,,
NanoString GeoMx DSP Imaging,Images acquired by the GeoMx instrument,,"NanoStringGeoMxDSPImaging_id, Filename, NanoStringGeoMxDSPLevel1 Key, NanoStringGeoMxDSPLevel2 Key, NanoStringGeoMxAuxiliaryFiles Key, NanoStringGeoMXROISegmentAnnotation Key, Biospecimen Key, Study Key, DatasetView Key, File Alias, File Description, File Design, File Level, Assay, Species, Tissue, Tumor Type, File Url, File Format, Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, GeoMx Imaging Channel Names, GeoMx Imaging AOI Coordinates, ImagingChannel Key, Image Assay Type, Image Protocol Link, Image Platform Model, Image Platform Manufacturer, Image Software, Image Objective, Image Nominal Magnification, Image Lense Aperture, Image Working Distance, Image Working Distance Unit, Image Immersion Type, Image Pyramidal, Image Z stack, Image Timeseries, Image FOV Index, Image FOV Size X, Image FOV Size X Unit, Image FOV Size Y, Image FOV Size Y Unit, Image Frame Averaging, Image Identifier, Image Dimension Order, Image Physical Size X, Image Physical Size X Unit, Image Physical Size Y, Image Physical Size Y Unit, Image Physical Size Z, Image Physical Size Z Unit, Image Pixels BigEndian, Image Plane Count, Image Channel Size, Image Number of Timepoints, Image X Pixels, Image Y Pixels, Image Z Pixels, Image Pixel Type",,,,,,,,,True,
NanoStringGeoMxDSPImaging_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
GeoMx Imaging Channel Names,Name(s) of imaging channel(s) associated with the image; multiple values should be provided as a comma-separated list.,,,,,,string_list,,,,,,
GeoMx Imaging AOI Coordinates,Synapse Id(s) of tabular file(s) containing coordinate points for AOIs found in the image; multiple values should be provided as a comma-separated list.,,,,,,string_list,,,,,,
NanoString GeoMx DSP Level 1,Raw sequencing files from GeoMX experiments,,"NanoStringGeoMxDSPLevel1_id, Filename, NanoStringGeoMxAuxiliaryFiles Key, NanoStringGeoMXROISegmentAnnotation Key, Biospecimen Key, Study Key, DatasetView Key, File Alias, File Description, File Design, File Level, Assay, Species, Tissue, Tumor Type, File Url, File Format, Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, GeoMx DSP Assay Type, NGS Library Strategy, NGS Library Source Material, NGS Library Source Molecule, NGS Library Selection Method, NGS Library Layout, NGS Sequencing Platform, NGS Sequencing Design Description, NGS Read Length, NGS Raw Reads, NGS Unique Bases, NGS Sequencing Coverage, NGS Library Preparation Kit Name, NGS Library Preparation Kit Vendor, NGS Library Preparation Kit Version, NGS Read Indicator, NGS Library Preparation Days from Index, NGS Sequencing Library Construction Days from Index",,,,,,,,,True,
NanoStringGeoMxDSPLevel1_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
GeoMx DSP Assay Type,The assay type which was used for the GeoMx DSP pipeline.,"RNA nCounter, Protein nCounter, Protein NGS, RNA NGS",,,CDE:7789196,,string,,,,,,
NanoString GeoMx DSP Level 2,Processed count conversion (DCC/RCC) files from GeoMX experiments,,"NanoStringGeoMxDSPLevel2_id, Filename, NanoStringGeoMxDSPLevel1 Key, NanoStringGeoMxAuxiliaryFiles Key, NanoStringGeoMXROISegmentAnnotation Key, Biospecimen Key, Study Key, DatasetView Key, File Alias, File Description, File Design, File Level, Assay, Species, Tissue, Tumor Type, File Url, File Format, Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, GeoMx DSP Assay Type, NGS Library Strategy, NGS Library Source Material, NGS Library Source Molecule, NGS Library Selection Method, NGS Library Layout, NGS Sequencing Platform, NGS Sequencing Design Description, NGS Raw Reads, NGS Stitched Reads, NGS Aligned Reads, NGS Deduplicated Reads, NGS Trimmed Reads, NGS MapQ30, NGS Unique Bases, NGS Read Length, NGS Sequencing Coverage, Genomic Reference, Software and Version",,,,,,,,,True,
NanoStringGeoMxDSPLevel2_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
NanoString GeoMx DSP Level 3,Files contain processed count data from the NanoString GeoMx DSP Pipeline.,,"NanoStringGeoMxDSPLevel3_id, Filename, NanoStringGeoMxDSPLevel1 Key, NanoStringGeoMxDSPLevel2 Key, NanoStringGeoMxAuxiliaryFiles Key, Biospecimen Key, Study Key, DatasetView Key, File Alias, File Description, File Design, File Level, Assay, Species, Tissue, Tumor Type, File Url, File Format, Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, NGS Unique Probe Count, NGS Unique Target Count, NGS Matrix Type, Software and Version, Workflow Type, Workflow Parameter Description, Workflow Link",,,,,,,,,True,
NanoStringGeoMxDSPLevel3_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
NanoString GeoMX ROI Segment Annotation,"GeoMx ROI and Segment Metadata Attributes. The assayed biospecimen should be reported one per row with the associated ROI and AOI coordinates. ",,"NanoStringGeoMXROISegmentAnnotation_id, Biospecimen Key, GeoMx Scan name, GeoMx ROI Name, GeoMx AOI Name, GeoMx Tags, GeoMx ROI X Coordinate, GeoMx ROI Y Coordinate, GeoMx AOI X Coordinate, GeoMx AOI Y Coordinate, GeoMx QC status, GeoMx Scan Height, GeoMx Scan Width, GeoMx Scan Offset X, GeoMx Scan Offset Y, GeoMx Binding Density, GeoMx Positive norm factor, GeoMx Surface area, GeoMx Nuclei count, GeoMx Tissue Stain, GeoMx Slide name, NGS Raw Reads, NGS Stitched Reads, NGS Aligned Reads, NGS Deduplicated Reads, NGS Trimmed Reads, NGS Sequencing Coverage, NGS MapQ30, GeoMx Negative count mean, GeoMx No Template Control count, GeoMx Excluded Outlier Probes, GeoMx Limit of Quantification",,,,,,,,,True,
NanoStringGeoMXROISegmentAnnotation_id,"Unique row identifier, used as a primary key for record updates",,,True,primary_key,,string,,,,,,
GeoMx Scan name,GeoMx Scan name (as appears in Segment Summary),,,True,,,string,,,,,,
GeoMx ROI Name,Name of Region of Interest corresponding to file. Multiple names should be comma-separated,,,True,,,string_list,,,,,,
GeoMx AOI Name,Name of Area of Illumination corresponding to file. Multiple names should be comma-separated,,,True,,,string_list,,,,,,
GeoMx ROI X Coordinate,Region of Interest X location within the image,,,,,,number,,,,,,
GeoMx ROI Y Coordinate,Region of Interest Y location within the image,,,,,,number,,,,,,
GeoMx AOI X Coordinate,Area of Illumination X location within the image,,,,,,number,,,,,,
GeoMx AOI Y Coordinate,Area of Illumination Y location within the image,,,,,,number,,,,,,
GeoMx QC status,ROI quality control flag as reported by the application,,,,,,string_list,,,,,,
GeoMx Scan Height,Height of the scan for GeoMx Analysis,,,,,,number,,,,,,
GeoMx Scan Width,Width of the scan for GeoMx Analysis,,,,,,number,,,,,,
GeoMx Scan Offset X,Offset X of the scan for GeoMx Analysis,,,,,,number,,,,,,
GeoMx Scan Offset Y,Offset Y of the scan for GeoMx Analysis,,,,,,number,,,,,,
GeoMx Binding Density,The binding density as reported by the application,,,,,,number,,,,,,
GeoMx Positive norm factor,The Positive Control Normalization factor calculated using pos-hyb controls,,,,,,number,,,,,,
GeoMx Surface area,Surface area of the ROI in square microns (µm2),,,,,,number,,,,,,
GeoMx Nuclei count,Number of nuclei detected in the segment (if applicable),,,,,,number,,,,,,
GeoMx Slide name,"Similar to a Run ID, the slide name indicates the slide a given ROI is linked to (as reported in Segment Summary).",,,,,,string,,,,,,
GeoMx In Situ Negative median,Is the median of all negative control probes for a given segment. A measure of signal to background for each segment.,,,,,,number,,,,,,
GeoMx Biological probe median,Is the median count from all probes except the negative control probes. A measure of signal to background for each segment,,,,,,number,,,,,,
GeoMx Negative count mean,The geometric mean of the unique negative probes in a GeoMx panel that do not target mRNA and establish the background count level per segment,,,,,,number,,,,,,
GeoMx No Template Control count,The number of reads detected by the GeoMx probe panel in the control associated with this ROI.,,,,,,number,,,,,,
GeoMx Excluded Outlier Probes,The list of probes excluded from analysis.,,,,,,number,,,,,,
GeoMx Limit of Quantification,The calculated limit of quantification associated with the segment.,,,,,,number,,,,,,
GeoMx Sequencing Saturation,"The fraction of reads originating from an already-observed UMI. This is a function of library complexity and sequencing depth. More specifically, this is the fraction of confidently mapped, valid spot-barcode, valid UMI reads that had a non-unique (spot-barcode, UMI, gene).",,,,,,number,,,,,,
GeoMx Tags,"The basename(s) or unique identifier(s) for FASTQ, RCC, or DCC file(s) associated with this ROI.",,,,,,string,,,,,,
GeoMx Tissue Stain,"Text description of the stain, fluorescent reporter, or channel used to select the boundaries of the ROI.",,,,,,string,,,,,,
Grant Name,Name of the grant,,,True,,,string,,,,,,
Grant Number,"Number of the grant (i.e. ""CA------"" format)",,,True,CRDC_CDE:16002823,,string,,^CA\d{6}$,,,,
Grant Abstract,Abstract for the grant,,,True,,,string,,,,,,
Grant Type,Type of grant,"R01, R21, R37, U01, U24, U54",,True,,,string,,,,,,
Grant View,The denormalized manifest for grant submission.,,"GrantView_id, Grant Name, Grant Number, Grant Abstract, Grant Type, Grant Theme Name, Grant Institution Name, Grant Institution Alias, Institution Key, Investigator, PersonView Key, Consortium Key, Grant Start Date, Grant End Date, NIH RePORTER Link, Duration of Funding, Embargo End Date, Grant Synapse Team, Grant Synapse Project",,,,,,,,,True,
Grant Theme Name,Theme(s) associated with the grant. 1...*,"Computational Model Development, Computational Resource, Drug Resistance/Sensitivity, Epigenetics, Evolution, Experimental Model Development, Heterogeneity, Immunotherapy, Mechano-genetics, Mechano-resistance, Metabolism, Metastasis, Method/Assay Development, Microenvironment, Oncogenic Stress, Platform Development, Tumor Progression, Tumor-Immune",,True,,,string_list,,,,,,
Grant Institution Name,The full name of the institution(s) associated with the grant. (e.g. Harvard University). 1...*,"Albert Einstein College of Medicine, Arizona State University, Auburn University, Barrow Neurological Institute, Baylor College Of Medicine, Beckman Research Institute of City of Hope, Beth Israel Deaconess Hospital, Boston Medical Center, Boston University, Brigham and Womens Hospital, California Institute of Technology, Childrens Hospital of Philadelphia, City Of Hope, Clemson University, Cleveland Clinic, Cold Spring Harbor Laboratory, Columbia University, Cornell University, Dana-Farber Cancer Institute, Dartmouth College, Duke University, Emory University, Georgia Institute of Technology, Harvard Medical School, Harvard University, Hebrew University of Jerusalem, Houston Methodist, Indiana University, Indiana University - Purdue University Indianapolis, Institute for Systems Biology, Jackson Laboratory, Johns Hopkins University, Lurie Children's Hospital, Massachusetts General Hospital, Massachusetts Institute of Technology, Mayo Clinic, Memorial Sloan Kettering Cancer Center, Moffitt Cancer Center, Northeastern University, New York University, Northwestern University, Oregon Health & Science University, Pacific Northwest National Laboratory, Purdue University, Rockefeller University, Sage Bionetworks, Salk Institute for Biological Studies, St. Jude Children's Research Hospital, Stanford University, Stony Brook University, The University of Texas Health Science Center at San Antonio, Tufts University Medford, University of Alabama at Birmingham, University of Arizona, University of Arkansas at Fayetteville, University of California; Berkeley, University of California; Irvine, University of California; Los Angeles, University of California; San Diego, University of California; San Francisco, University of Chicago, University of Chicago Medical Center, University of Colorado Denver, University of Delaware, University of Florida, University of Illinois, University of Illinois at Chicago, University of Massachusetts Medical School, University of Miami, University of Michigan, University of Nevada Reno, University of Minnesota, University of New South Wales, University of North Carolina at Chapel Hill, University of Pennsylvania, University of Pittsburgh, University of Southern California, University of Texas MD Anderson Cancer Center, University of Texas Southwestern Medical Center, University of Texas at Austin, University of Utah, University of Virginia, University of Washington, University of Wisconsin-Madison, Vanderbilt University, Virginia Polytechnic Institute, Washington University in St. Louis, Wake Forest, Weill Cornell Medicine, Wistar Institute, Yale University",,True,,,string_list,,,,,,
Grant Institution Alias,The alias of the institution(s) associated with the grant (e.g. UCSD). 1...*,"AECM, ASU, AU, BCM, BIDMC, BMC, BRI, BU, BWH, Barrow, CHOP, COH, CSHL, Caltech, Clemson, Cleveland Clinic, Columbia, Cornell, DFCI, Dartmouth, Duke, Emory, GTech, HMS, HUJI, Harvard, Houston Methodist, ISB, IU, IUPUI, JHU, Jackson Laboratory, Lurie Children's Hospital, MGH, MIT, MSKCC, Mayo, Moffitt, NEU, NU, NYU, OHSU, PNNL, Pitt, Purdue, Rockefeller University, SBU, Sage, Salk, StJude, Stanford, TUM, U Miami, UA, UARK, UAB, UCBerkeley, UCD, UCI, UCLA, UCMC, UCSD, UCSF, UChicago, UD, UFL, UIC, UMMS, UMichigan, UMinn, UNC, UNR, UNSW, UPenn, USC, UT Austin, UT Southwestern, UTHSCSA, UUtah, UVA, UW, UWM, University of Illinois, University of Texas MD Anderson Cancer Center, Vanderbilt, VT, WUSTL, WCM, Wake Forest, Wistar, Yale",,True,,,string_list,,,,,,
GrantView_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the grant number in CAxxxxxx format unless otherwise indicated.",,,True,primary_key,,string,,,,,,
Grant Synapse Team,"The Synapse team associated with the grant, created by the MC2 Center",,,,,,string,uri,,,,,
Grant Synapse Project,"The Synapse project associated with the grant, created by the MC2 Center",,,,,,string,uri,,,,,
Grant Start Date,The start date of the grant YYYY-MM-DD format,,,True,,,string,date,,,,,
NIH RePORTER Link,Link to the search results for this grant number on the NIH Reporter website,,,True,,,string,uri,,,,,
Duration of Funding,"Duration of the funding period, in years",,,,,,number,,,,,,
Embargo End Date,Date at which an embargo on related resources had lifted,,,,,,string,date,,,,,
Grant End Date,The end date of the grant YYYY-MM-DD format,,,True,,,string,date,,,,,
Imaging Channel,Channel-level Metadata Attributes,,"ImagingChannel_id, Study Key, Channel Identifier, Channel Name, Channel Passed QC, Channel Cycle Number, Channel Sub-cycle Number, Channel Antibody Role, Channel Target Name, Channel Antibody Name, Channel Resource ID, Channel Fluorophore, Channel Antibody Clone, Channel Antibody Lot, Channel Antibody Vendor, Channel Antibody Catalog Number, Channel Excitation Wavelength, Channel Emission Wavelength, Channel Excitation Bandwidth, Channel Emission Bandwidth, Channel Metal Symbol, Channel Metal Isotope, Channel Oligo Barcode Upper Strand, Channel Oligo Barcode Lower Strand, Channel Probe Dilution Ratio, Channel Probe Concentration",,,,,,,,,True,
ImagingChannel_id,"Unique row identifier, used as a primary key for record updates.",,,True,primary_key,,string,,,,,,
Channel Identifier,This must match the corresponding field in the OME-XML / TIFF header. (eg 'Channel:0:1'),,,True,,,string,,,,,,
Channel Name,This must match the corresponding field in the OME-XML / TIFF header. (eg 'Blue' or 'CD45' or 'E-cadherin'),,,True,,,string,,,,,,
Channel Passed QC,Identify stains that did not pass QC but are included in the dataset.,"Yes, No - Channel Failed QC",,,,,string,,,,,,
Channel Cycle Number,The cycle # in which the co-listed reagent(s) was(were) used. Integer >= 1 (up to number of cycles),,,,,,number,,,,,,
Channel Sub-cycle Number,Sub cycle number,,,,,,number,,,,,,
Channel Antibody Role,Is this antibody acting as a primary or secondary antibody?,"Primary, Secondary",,,,,string,,,,,,
Channel Target Name,Short descriptive name (abbreviation) for this target (antigen),,,True,,,string,,,,,,
Channel Antibody Name,"Antibody Name (free text (eg “Keratin”, “CD163”, “DNA”))",,,,CDE:2004006,,string,,,,,,
Channel Resource ID,Research Resource Identifier (eg “RRID: AB_394606”),,,,,,string,,,,,,
Channel Fluorophore,Fluorescent dye label (eg Alexa Fluor 488),,,,,,string,,,,,,
Channel Antibody Clone,Clone,,,,CDE:14767258,,string,,,,,,
Channel Antibody Lot,Lot number from vendor,,,,CDE:6390920,,string,,,,,,
Channel Antibody Vendor,Vendor,,,,CDE:2866141,,string,,,,,,
Channel Antibody Catalog Number,Catalog Number,,,,CDE:2192897,,string,,,,,,
Channel Excitation Wavelength,Center/peak of the excitation spectrum (nm),,,,,,number,,,,,,
Channel Emission Wavelength,Center/peak of the emission spectrum (nm),,,,,,number,,,,,,
Channel Excitation Bandwidth,Nominal width of excitation spectrum (nm),,,,,,number,,,,,,
Channel Emission Bandwidth,Nominal width of emission spectrum (nm),,,,,,number,,,,,,
