attribute,n_permissible_values,existing_cde,top_cde_public_id,top_cde_version,top_score,top_cde_long_name,top_pv_match_ratio,n_candidates,existing_vs_top
NanoStringGeoMxDSPLevel1 Key,0,,,,,,,0,
NanoStringGeoMxDSPLevel2 Key,0,,,,,,,0,
NanoStringGeoMxDSPLevel3 Key,0,,,,,,,0,
NanoStringGeoMXROISegmentAnnotation Key,0,,,,,,,0,
ImagingChannel Key,0,,,,,,,0,
ImagingLevel1 Key,0,,,,,,,0,
ImagingLevel2 Key,0,,,,,,,0,
ImagingLevel3Image Key,0,,,,,,,0,
ImagingLevel3Segments Key,0,,,,,,,0,
ImagingLevel4 Key,0,,,,,,,0,
SequencingLevel1 Key,0,,,,,,,0,
SequencingLevel2 Key,0,,,,,,,0,
SequencingLevel3 Key,0,,,,,,,0,
SequencingLevel4 Key,0,,,,,,,0,
SequencingRNALevel1 Key,0,,,,,,,0,
10xVisiumRNALevel1 Key,0,,,,,,,0,
10xVisiumRNALevel2 Key,0,,,,,,,0,
10xVisiumRNALevel3 Key,0,,,,,,,0,
10xVisiumRNALevel4 Key,0,,,,,,,0,
10xVisiumAuxiliaryFiles Key,0,,,,,,,0,
Filename,0,11284037,,,,,,0,
Workflow Type,0,,2767073,1,63.9,Pulse Rate Measurement Value,,10,
Workflow Link,0,,2767073,1,63.9,Pulse Rate Measurement Value,,10,
Workflow Parameter Description,0,,6421489,1,63.9,Medical History Event Reported Term,,10,
Software and Version,0,11529072,,,,,,0,
Workflow Version,0,,3008888,1,63.9,Case Report Form Version Number,,10,
Genomic Reference,0,11529031,,,,,,0,
Genomic Reference URL,0,,2007451,1,63.85,Patient Accession Number,,3,
Genome Annotation URL,0,,2902196,2,63.85,Temporomandibular Joint Disorder Pain Treatment Referral Administered Yes No Indicator,,10,
AccessRequirementKey,0,,,,,,,0,
dataUseModifiers,32,00002002,,,,,,0,
collaborationRequired,0,,2767073,1,63.9,Pulse Rate Measurement Value,,10,
diseaseSpecificResearch,0,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
geographicalRestriction,249,,,,,,,0,
institutionSpecificRestriction,0,,2481533,1,63.9,Treating Institution Identifier Code,,10,
publicationMoratorium,0,,2193134,2,83.9,Date,,10,
researchSpecificRestrictions,0,,6596849,1,63.55,Resting Occurrence Indicator,,1,
timeLimitOnUse,0,,2193236,2,83.9,Time,,10,
userSpecificRestriction,0,,6596849,1,63.55,Resting Occurrence Indicator,,1,
sourceGeography,249,,,,,,,0,
populationType,0,,6764307,1,63.55,Mixed Phenotype Acute Leukemia Population Group Description Type,,1,
deidentificationType,4,,,,,,,0,
dataPermission,4,,,,,,,0,
dataTier,4,,,,,,,0,
license,11,,14902606,1,63.55,Data File Dataset License Type,,1,
attribution,0,,1285,3,63.9,CTC Adverse Event Attribution Scale,,10,
USE,0,,6385437,1,58.55,Clinical Performed Observation Outcome Data Sentinel CDM Laboratory Result Modifier Code,,1,
COL,0,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
RST,0,,2740401,1,63.9,Protocol Deviation Severity Type,,10,
TSM,0,,62703,3,63.85,Prior Surgery TUR Treatment Count,,6,
MOR,0,,2193134,2,83.9,Date,,10,
IST,0,,2481533,1,63.9,Treating Institution Identifier Code,,10,
GSR,0,,2240728,1,63.85,Adjuvant Radiation Therapy Administered Site,,5,
DSR,0,,2179892,2,63.9,Adverse Event Cancer Treatment Related Type,,10,
DUOPlus1,0,,3187598,1,63.85,Cancer Diagnosis Source Type,,10,
DUOPlus2,0,,5335698,1,63.85,The Cancer Human Biobank Project Identifier,,10,
DUOPlus3,0,,,,,,,0,
DUOPlus4,0,,5335698,1,63.85,The Cancer Human Biobank Project Identifier,,10,
DUOPlus5,0,,5335698,1,63.85,The Cancer Human Biobank Project Identifier,,10,
DUOPlus6,0,,5335698,1,63.85,The Cancer Human Biobank Project Identifier,,10,
DUOPlus7,0,,1285,3,63.9,CTC Adverse Event Attribution Scale,,10,
DSP Dataset Name,0,,62749,3,63.9,Treating Physician Name,,10,
DSP Dataset Alias,0,,,,,,,0,
DSP Dataset Assay,382,,2721569,1,79.98,Prior Therapy Administered Code,0.003,10,
DSP Dataset Species,29,,6951303,1,79.98,Data Collection Species Type,0.034,10,
DSP Dataset Tumor Type,186,,6407343,1,79.98,Malignant Neoplasm Anatomic Type,0.005,10,
DSP Dataset Tissue,114,,7003892,1,83.55,Tissue Type,,10,
DSP Dataset File Formats,0,,,,,,,0,
DataDSP_id,0,,,,,,,0,
DSP Dataset Level,7,,5477,2.31,63.85,Biomarker Value,,7,
DSP Number of Files,0,,62703,3,63.85,Prior Surgery TUR Treatment Count,,10,
DSP Number of Samples,0,,2500265,2,63.9,Tissue Disease Status Category,,10,
DSP Number of Participants,0,,2838523,1,63.9,Laboratory Specimen Collection Status Indicator,,10,
DSP Storage Size,0,,2183619,1,63.9,Adverse Event Expected Indicator,,10,
DSP Planned Upload Date,0,,2193134,2,83.9,Date,,10,
DSP Planned Release Date,0,,2193134,2,83.9,Date,,10,
DSP Dataset Grant Number,155,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
DSP Dataset Url,0,,,,,,,0,
DSP Data Use Codes,0,,,,,,,0,
DSP IRB Form,0,,2746459,1,63.9,Protocol Clinical Study Identifier Number,,10,
DSP Dataset Description,0,,6421489,1,63.9,Medical History Event Reported Term,,10,
DSP Dataset Destination,0,,2003301,4,63.9,Patient Identifier,,10,
DSP Dataset Metadata,0,,,,,,,0,
Study Name,0,11459810,,,,,,0,
Study Description,0,03444002,,,,,,0,
Study Investigator,0,,,,,,,0,
Study_id,0,12960571,,,,,,0,
Study Number of Participants,0,11555662,,,,,,0,
Study De-identification Method Type,4,14576319,14576319,1,80,Data File Deidentification Method Type,1.0,10,agree
Study De-identification Method Description,0,,6421489,1,63.9,Medical History Event Reported Term,,10,
Study De-identification Method Software,0,,,,,,,0,
Study dbGaP Accession Id,0,11524544,,,,,,0,
Study License,11,14902606,,,,,,0,
Study Index Date,4,,,,,,,0,
Study Project Identifier,0,,,,,,,0,
Study Data Use Codes,32,0002001,,,,,,0,
Theme Name,0,,10,4,63.9,Agent Name,,10,
Theme Display Name,0,,10,4,63.9,Agent Name,,10,
Theme Description,0,,6421489,1,63.9,Medical History Event Reported Term,,7,
Tool Accessibility,3,,,,,,,0,
Tool Cmd,0,,6944747,1,83.55,Function,,5,
Tool Compute Requirements,0,,,,,,,0,
Tool Cost,3,,,,,,,0,
Tool Date Last Modified,0,,2193236,2,83.9,Time,,10,
Tool Description,0,,6421489,1,63.9,Medical History Event Reported Term,,7,
Tool Documentation Note,0,,6355806,1,83.9,Comment,,6,
Tool Documentation Type,15,,2241245,1,79.98,Surgical Procedure Breast Neoplasm Performed Type,0.067,10,
Tool Documentation Url,0,,,,,,,0,
Tool Download Note,0,,6355806,1,83.9,Comment,,6,
Tool Download Type,18,,3091636,1,79.98,Agent Cytokine Administered Type,0.056,10,
Tool Download Url,0,,,,,,,0,
Tool Download Version,0,,3008888,1,63.9,Case Report Form Version Number,,9,
Tool Entity Name,0,,,,,,,0,
Tool Entity Role,7,,2201713,2,74.98,Person Affiliation Role Text Type,0.286,5,
Tool Entity Type,6,,2740401,1,63.9,Protocol Deviation Severity Type,,10,
Tool Function Note,0,,6355806,1,83.9,Comment,,10,
Tool Grant Number,155,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Tool Homepage,0,,2003720,3,63.85,Page Number,,5,
Tool Input Data,147,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Tool Input Format,122,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Tool Language,67,,6707231,1,79.98,Organism Source Source Type,0.015,10,
Tool License,326,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Tool Link Note,0,,6355806,1,83.9,Comment,,6,
Tool Link Type,12,,2241245,1,79.98,Surgical Procedure Breast Neoplasm Performed Type,0.083,10,
Tool Link Url,0,,,,,,,0,
Tool Name,0,,62749,3,63.9,Treating Physician Name,,10,
Tool Operating System,3,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Tool Operation,118,,6944747,1,83.55,Function,,10,
Tool Output Data,147,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Tool Output Format,122,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Tool Package Dependencies,0,,,,,,,0,
Tool Package Dependencies Present,2,,1012,3,63.85,Chronic Disease Present Ind-3,,3,
Tool Grant Number,155,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Tool Pubmed Id,0,,,,,,,0,
Tool Release Date,0,,2193134,2,83.9,Date,,10,
Tool Topic,115,,,,,,,0,
Tool Type,18,,,,,,,0,
Tool Version,0,,3008888,1,63.9,Case Report Form Version Number,,9,
ToolView_id,0,,,,,,,0,
Tool Doi,0,,2003301,4,63.9,Patient Identifier,,5,
10xVisiumAuxiliaryFiles_id,0,,,,,,,0,
10x Visium RNA Level 1,0,,5278800,1,63.85,File Identifier,,10,
10xVisiumRNALevel1_id,0,,,,,,,0,
Visium Run ID,0,,,,,,,0,
Visium Capture Area,8,,,,,,,0,
Visium Slide Version,4,,,,,,,0,
Visium Spatial Read1,2,,6421489,1,63.9,Medical History Event Reported Term,,8,
Visium Spatial Read2,2,,6421489,1,63.9,Medical History Event Reported Term,,8,
Visium Spatial Library Construction Method,12,,2003837,3,83.85,Result,,10,
Visium Slide ID,0,,,,,,,0,
Visium Image Re-orientation,2,,6848650,1,63.9,Montreal Cognitive Assessment Version 8.1 Orientation Test Score,,8,
Visium Permeabilization Time,0,,2193236,2,83.9,Time,,10,
10xVisiumRNALevel2_id,0,,,,,,,0,
Visium UMI Tag,0,,2767073,1,63.9,Pulse Rate Measurement Value,,10,
Visium Whitelist Spatial Barcode File Link,0,,2415026,1,63.85,Specimen Tube Bar Code,,10,
Visium Spatial Barcode Tag,0,,2767073,1,63.9,Pulse Rate Measurement Value,,10,
Visium Applied Hard Trimming,2,,,,,,,0,
10xVisiumRNALevel3_id,0,,,,,,,0,
Visium File Type,18,,2767073,1,63.9,Pulse Rate Measurement Value,,10,
Visium Spots under tissue,0,,2415026,1,63.85,Specimen Tube Bar Code,,10,
Visium Mean Reads per Spatial Spot,0,,6408286,1,63.9,Microscopic Findings Laterality,,10,
Visium Median Number Genes per Spatial Spot,0,,2238438,1,63.85,Chromosome Gene Name,,10,
Visium Proportion Reads Mapped,0,,2838523,1,63.9,Laboratory Specimen Collection Status Indicator,,7,
Visium Proportion Reads Mapped to Transcriptome,0,,6944736,1,83.55,Transcript,,10,
Visium Median UMI Counts per Spot,0,,62703,3,63.85,Prior Surgery TUR Treatment Count,,7,
10xVisiumRNALevel4_id,0,,,,,,,0,
Visium Workflow Type,0,,62749,3,63.9,Treating Physician Name,,10,
Visium Workflow Parameters Description,0,,2183299,1,63.85,Pregnancy Live Birth Count,,5,
